# Rime user dictionary
#@/db_name	luna_pinyin
#@/db_type	userdb
#@/rime_version	1.7.3
#@/tick	5927
#@/user_id	mac
a 	啊	c=58 d=5.96503 t=5927
fang fa 	方法	c=1 d=0.704688 t=5927
fang fang 	芳芳	c=0 d=0.000514361 t=5927
fang fang da jie 	芳芳大姐	c=1 d=0.00516939 t=5927
fang ge 	放個	c=0 d=0.0704688 t=5927
fang ge deng you 	放個燈油	c=1 d=0.70822 t=5927
fang jin 	放進	c=0 d=0.0683861 t=5927
fang mian 	方面	c=0 d=0.0509156 t=5927
fang shi 	方式	c=6 d=0.088692 t=5927
fang shi fen san fa 	方式分散法	c=1 d=0.891366 t=5927
fang wen 	訪問	c=1 d=0.0724398 t=5927
fang zhi 	防止	c=3 d=0.932394 t=5927
fei 	非	c=2 d=0.744532 t=5927
fei chang 	非常	c=1 d=0.726149 t=5927
fei yong 	費用	c=1 d=0.0575558 t=5927
fen san fa 	分散法	c=0 d=0.176063 t=5927
fen zhi 	分支	c=1 d=0.00640933 t=5927
fen zhong 	分鐘	c=1 d=0.00121866 t=5927
feng 	封	c=1 d=1 t=5623
feng dong fan dong 	风动旛动	c=2 d=1.76312 t=5927
feng dong fan dong fa 	风动旛动發	c=1 d=0.847861 t=5927
feng dong fan dong fa de 	风动旛动發的	c=1 d=0.810584 t=5927
feng dong fan dong feng dong fan dong fang da 	风动旛动风动旛动方大	c=1 d=0.843665 t=5927
feng lou 	封樓	c=1 d=0.241714 t=5927
feng shen 	風神	c=3 d=1.02636 t=5927
feng sheng 	風聲	c=1 d=0.965605 t=5927
fo le 	佛了	c=1 d=0.704688 t=5927
fu 	副	c=0 d=0.0715338 t=5927
fu gai 	覆蓋	c=1 d=0.00307331 t=5927
fu gai shu 	覆蓋數	c=1 d=0.00304273 t=5927
fu le 	服了	c=0 d=0.0946485 t=5927
fu wu 	服務	c=16 d=2.1134 t=5927
fu wu fa xian 	服務發現	c=2 d=0.000741839 t=5927
fu wu fa xian shi bai 	服務發現失敗	c=1 d=0.000312783 t=5927
fu wu qi 	服務器	c=4 d=0.513379 t=5927
fu wu shang 	服務商	c=1 d=0.00909528 t=5927
fu wu shu 	服務樹	c=1 d=0.0168231 t=5927
fu xi 	復系	c=0 d=0.070822 t=5927
fu xi 	複習	c=0 d=0.071177 t=5927
fu xi ke 	復系可	c=1 d=0.71177 t=5927
fu xi ke 	複習課	c=1 d=0.715338 t=5927
fu yong 	復用	c=2 d=0.292293 t=5927
fu za du 	複雜度	c=1 d=0.0916297 t=5927
fu ze 	負責	c=2 d=0.0498272 t=5927
fu zhi 	複製	c=2 d=0.923116 t=5927
fu zi 	夫子	c=1 d=0.04573 t=5927
ga shi 	伽師	c=0 d=0.0477114 t=5927
gai 	改	c=4 d=0.573655 t=5927
gai 	該	c=0 d=0.0680451 t=5927
gai ba 	改吧	c=1 d=0.349938 t=5927
gai bu liao 	改不了	c=1 d=0.0132247 t=5927
gai dao 	改到	c=1 d=0.214381 t=5927
gai de 	改得	c=1 d=0.279431 t=5927
gai gai 	改改	c=1 d=1 t=5611
gai guo 	改過	c=1 d=0.00263203 t=5927
gai le 	改了	c=6 d=1.33823 t=5927
gai lv 	概率	c=0 d=0.00393602 t=5927
gai ming 	改名	c=1 d=0.472348 t=5927
gai ming qian 	改名前	c=1 d=0.451581 t=5927
gai wan 	改完	c=0 d=0.0683861 t=5927
gai wan le 	改完了	c=1 d=0.687289 t=5927
gai wan le 	該完了	c=1 d=0.683861 t=5927
gai wei 	改爲	c=2 d=0.865022 t=5927
gai yi xia 	改一下	c=1 d=0.0361528 t=5927
gai yong 	改用	c=2 d=0.00189346 t=5927
gai zao 	改造	c=6 d=0.232732 t=5927
gan huo 	幹活	c=1 d=0.423162 t=5927
gan jue 	感覺	c=2 d=0.00797994 t=5927
gan le 	乾了	c=1 d=1 t=5631
gan qing 	感情	c=0 d=0.0458406 t=5927
gan sha 	幹啥	c=1 d=0.89636 t=5927
gan zhe 	趕着	c=1 d=0.579842 t=5927
gan zhi 	感知	c=1 d=0.591555 t=5927
gang cai 	剛纔	c=3 d=0.808196 t=5927
gao 	搞	c=1 d=0.771052 t=5927
gao dao 	搞到	c=1 d=0.00522135 t=5927
gao dao le 	搞到了	c=1 d=0.240508 t=5927
gao er 	高二	c=2 d=0.000706817 t=5927
gao er 	高爾	c=1 d=0.00032882 t=5927
gao jing 	告警	c=8 d=0.0750974 t=5927
gao liang 	高亮	c=4 d=2.79426 t=5927
gao long 	高隆	c=0 d=0.0640824 t=5927
gao wan 	睾丸	c=1 d=0.0057994 t=5927
gao yi 	高一	c=2 d=0.000633676 t=5927
gao zhe ge 	搞這個	c=1 d=0.053397 t=5927
ge 	個	c=13 d=2.91458 t=5927
ge ge 	哥哥	c=7 d=3.43403 t=5927
ge li 	隔離	c=3 d=0.268474 t=5927
ge ren 	個人	c=0 d=0.1 t=5605
ge ren gui hua 	個人規劃	c=1 d=1 t=5606
ge shi hua 	格式化	c=2 d=1.20689 t=5927
ge xing hua 	個性化	c=1 d=0.569317 t=5927
ge xing hua lian xi 	個性化練習	c=1 d=0.527292 t=5927
ge zi 	各自	c=2 d=0.125337 t=5927
ge zi 	格子	c=1 d=0.0485578 t=5927
ge zi de 	各自的	c=1 d=0.0753961 t=5927
gei chu 	給出	c=1 d=0.000170803 t=5927
gei ni de 	給你的	c=1 d=0.767206 t=5927
gei wo 	給我	c=1 d=0.00425356 t=5927
gen 	跟	c=2 d=0.909373 t=5927
gen ju 	根據	c=4 d=0.701173 t=5927
geng gai 	更改	c=7 d=1.48374 t=5927
geng gao 	更高	c=1 d=0.332647 t=5927
geng gao dian 	更高點	c=1 d=0.331211 t=5927
geng hao 	更好	c=0 d=0.0519442 t=5927
geng hao kan 	更好看	c=1 d=0.522046 t=5927
geng jia 	更加	c=2 d=0.367534 t=5927
geng ju 	更具	c=2 d=0.697676 t=5927
geng qiang 	更強	c=1 d=0.172907 t=5927
geng xin 	更新	c=12 d=1.84888 t=5927
geng xin de 	更新的	c=1 d=0.139457 t=5927
geng xin le 	更新了	c=1 d=0.390628 t=5927
gong dan 	工單	c=5 d=0.612626 t=5927
gong ju 	工具	c=3 d=0.811732 t=5927
gong le 	共樂	c=0 d=0.0683861 t=5927
gong neng 	功能	c=4 d=1.9789 t=5927
gong yi 	工藝	c=1 d=0.680451 t=5927
gong zuo liang 	工作量	c=1 d=1 t=5615
gou 	夠	c=2 d=0.878095 t=5927
gu ji 	估計	c=4 d=1.07528 t=5927
gu lao 	古老	c=0 d=0.00536647 t=5927
gu lao de 	古老的	c=1 d=0.516851 t=5927
gu li 	孤立	c=2 d=1.10867 t=5927
guan bi 	關閉	c=2 d=0.0558548 t=5927
guan jian ci 	關鍵詞	c=1 d=0.88692 t=5927
guan jian zi 	關鍵字	c=1 d=0.733447 t=5927
guan le 	關了	c=1 d=2.32315e-05 t=5927
guan lian 	關聯	c=3 d=2.68759 t=5927
guan ta 	管他	c=1 d=0.292293 t=5927
guan xi 	關係	c=7 d=0.634448 t=5927
guan yu 	關於	c=1 d=0.249075 t=5927
guan zhu 	關注	c=0 d=7.98788e-06 t=5927
guang biao 	光標	c=1 d=0.946485 t=5927
guang gao 	廣告	c=4 d=1.99433 t=5927
gui 	貴	c=1 d=0.88692 t=5927
gui hua 	規劃	c=0 d=0.1 t=5605
gui ping 	桂平	c=1 d=1 t=5901
gui ze 	規則	c=9 d=1.88056 t=5927
guo 	過	c=2 d=0.110588 t=5927
guo bao te gong 	果寶特攻	c=1 d=0.371577 t=5927
guo cheng zhong 	過程中	c=1 d=0.467666 t=5927
guo da 	過大	c=1 d=0.000147011 t=5927
guo de 	過得	c=1 d=0.737123 t=5927
guo gao 	過高	c=1 d=4.82073e-05 t=5927
guo hua 	國華	c=1 d=0.00456197 t=5927
guo lai 	過來	c=2 d=0.121152 t=5927
guo lai de 	過來的	c=1 d=0.909373 t=5927
guo le 	過了	c=0 d=0.118876 t=5927
guo le ma 	過了嗎	c=1 d=0.514274 t=5927
guo lv 	過濾	c=5 d=0.763379 t=5927
guo ma 	過嗎	c=1 d=0.0323869 t=5927
guo qi 	國企	c=1 d=0.442639 t=5927
guo qi 	過期	c=2 d=0.493813 t=5927
guo qi shi jian 	過期時間	c=2 d=0.900932 t=5927
guo yi duan 	過一段	c=1 d=0.67032 t=5927
hai 	還	c=2 d=0.880506 t=5927
hai bu 	還不	c=1 d=6.47485e-05 t=5927
hai de shi ni a 	還得是你啊	c=2 d=1.52295 t=5927
hai hui 	海会	c=0 d=0.0810584 t=5927
hai hui 	還會	c=1 d=0.818731 t=5927
hai hui dui 	海会對	c=1 d=0.814647 t=5927
hai jia 	還加	c=1 d=0.514274 t=5927
hai ke yi 	還可以	c=1 d=0.414783 t=5927
hai mei 	還沒	c=1 d=0.88692 t=5927
hai qu fen 	還區分	c=1 d=0.00249118 t=5927
hai shi 	還是	c=9 d=1.21396 t=5927
hai shi bu ci na ge 	還是不辭那個	c=1 d=0.960789 t=5927
hai ti gong 	還提供	c=1 d=0.404542 t=5927
hai xing ba 	還行吧	c=3 d=0.31036 t=5927
hai yao 	還要	c=4 d=0.558555 t=5927
hai yi wei 	還以爲	c=1 d=1 t=5619
hai you 	還有	c=2 d=0.980199 t=5927
hai you jiu shi 	還有就是	c=1 d=0.771052 t=5927
hai you ren 	還有人	c=1 d=0.522046 t=5927
han feng 	寒風	c=1 d=0.740818 t=5927
han shu 	函數	c=13 d=3.23347 t=5927
hao 	好	c=2 d=0.234809 t=5927
hao 	號	c=3 d=0.956053 t=5927
hao a 	好啊	c=1 d=0.463013 t=5927
hao ba 	好吧	c=1 d=0.25924 t=5927
hao dian 	好點	c=1 d=1 t=5734
hao kan 	好看	c=1 d=0.66034 t=5927
hao le 	好了	c=3 d=0.242926 t=5927
hao le ma 	好了嗎	c=3 d=1.25697 t=5927
hao shi 	耗時	c=1 d=0.0645703 t=5927
hao xiang 	好像	c=9 d=1.09871 t=5927
hao yao 	好要	c=1 d=1 t=5785
hao yun 	好運	c=0 d=0.0571209 t=5927
hao yun le 	好運了	c=1 d=0.574072 t=5927
he 	合	c=0 d=0.0697676 t=5927
he 	和	c=35 d=4.41576 t=5927
he 	喝	c=1 d=0.603506 t=5927
he 	鶴	c=5 d=2.0293 t=5927
he bing 	合併	c=3 d=1.1478 t=5927
he bu he 	合不合	c=0 d=0.000375375 t=5927
he bu he shi 	合不合是	c=1 d=0.00377257 t=5927
he bu jin qu 	合不進去	c=1 d=0.701173 t=5927
he li 	合理	c=1 d=0.0528657 t=5927
he shi 	合適	c=3 d=0.298582 t=5927
he wo 	和我	c=2 d=0.903535 t=5927
he wo men 	和我們	c=1 d=1 t=5635
he zhi qian 	和之前	c=1 d=0.109154 t=5927
hei long jiang 	黑龍江	c=1 d=0.529935 t=5927
hei ye li 	黑夜裏	c=1 d=0.744532 t=5927
hen 	很	c=0 d=0.0379083 t=5927
hen da 	很大	c=1 d=0.960789 t=5927
hen duo 	很多	c=2 d=1.83946 t=5707
hen he li 	很合理	c=1 d=0.131336 t=5927
hen ji 	很急	c=0 d=0.00338776 t=5927
hen ji ma 	很急嗎	c=1 d=0.0340475 t=5927
hen jian dan 	很簡單	c=0 d=0.0955997 t=5927
hen ma fan 	很麻煩	c=1 d=1 t=5801
hen man 	很慢	c=1 d=0.647265 t=5927
hen miao 	很秒	c=1 d=0.491644 t=5927
hen qi guai 	很奇怪	c=1 d=0.251579 t=5927
hen you 	很有	c=0 d=0.1 t=5838
hen you zi xin 	很有自信	c=1 d=1 t=5839
hen yuan gu 	很遠古	c=1 d=0.380983 t=5927
hen zao yi qian 	很早以前	c=1 d=0.551563 t=5927
hong ni guan 	虹霓關	c=0 d=0.1 t=5583
hou 	後	c=2 d=0.179116 t=5927
hou de 	厚的	c=1 d=5.04262e-05 t=5927
hou mian 	後面	c=6 d=0.401129 t=5927
hou mian hui 	後面會	c=1 d=0.224249 t=5927
hou xu 	後續	c=19 d=2.97137 t=5927
hu lve 	忽略	c=3 d=0.344497 t=5927
hua 	化	c=3 d=0.172356 t=5927
hua 	話	c=1 d=0.116484 t=5927
hua fen 	劃分	c=1 d=0.14808 t=5927
hua shuo 	話說	c=1 d=0.384812 t=5927
hua suan 	划算	c=2 d=1.8825 t=5858
hua xi 	華西	c=0 d=0.012493 t=5927
hua xi na ge 	華西那個	c=3 d=0.75458 t=5927
hua xiang 	畫像	c=35 d=4.24066 t=5927
hua xing 	化性	c=3 d=0.88692 t=5927
huan 	換	c=1 d=0.985112 t=5927
huan cheng 	換成	c=2 d=0.516851 t=5927
huan chong qu 	緩衝區	c=1 d=0.782705 t=5927
huan chu 	換出	c=1 d=0.101266 t=5927
huan cun 	緩存	c=2 d=0.101774 t=5927
huan cun de 	緩存的	c=1 d=0.000655574 t=5927
huan ge 	換個	c=0 d=0.0640824 t=5927
huan ge hao 	換個號	c=1 d=0.644036 t=5927
huan jing 	環境	c=4 d=1.44879 t=5927
huan shang 	換上	c=1 d=0.343009 t=5927
hui 	會	c=6 d=0.205857 t=5927
hui bei 	會被	c=1 d=0.759572 t=5927
hui bian 	會變	c=1 d=0.529935 t=5927
hui dao zhi 	會導致	c=2 d=0.00101025 t=5927
hui fu 	回覆	c=1 d=0.923116 t=5927
hui fu 	恢復	c=1 d=0.927743 t=5927
hui gui 	回歸	c=2 d=0.740818 t=5927
hui gun 	回滾	c=6 d=0.321422 t=5927
hui huo qu 	會獲取	c=1 d=5.94723e-05 t=5927
hui jia 	回家	c=1 d=0.0300468 t=5927
hui jiang 	會將	c=1 d=2.67226e-05 t=5927
hui mo ren 	會默認	c=1 d=0.458406 t=5927
hui tong bu 	會同步	c=1 d=0.0804596 t=5927
hui yi 	惠以	c=1 d=0.0275983 t=5927
hui yi 	會議	c=1 d=0.0277367 t=5927
hui yi zhi 	會一直	c=1 d=0.562705 t=5927
hui you 	會有	c=5 d=0.175802 t=5927
hui zhi jie 	會直接	c=2 d=0.286505 t=5927
huo 	或	c=1 d=0.554327 t=5927
huo 	活	c=1 d=0.210136 t=5927
huo de 	獲得	c=0 d=4.58562e-06 t=5927
huo qu 	獲取	c=7 d=1.86488 t=5927
huo zhe 	或者	c=4 d=1.47888 t=5927
huo zhe 	活著	c=1 d=0.0558548 t=5927
ji 	及	c=0 d=0.0250324 t=5927
ji 	機	c=0 d=0.0251579 t=5927
ji 	級	c=0 d=0.0313486 t=5927
ji ben 	基本	c=2 d=0.247863 t=5927
ji ben shang 	基本上	c=2 d=0.41402 t=5927
ji bian 	幾遍	c=1 d=0.40657 t=5927
ji cheng 	集成	c=1 d=0.852144 t=5927
ji chu 	基礎	c=1 d=0.0555762 t=5927
ji cuo 	記錯	c=1 d=0.011109 t=5927
ji de 	記得	c=1 d=0.189191 t=5927
ji ge 	幾個	c=2 d=0.932394 t=5927
ji hua 	計畫	c=4 d=1.72141 t=5927
ji jian 	基建	c=1 d=0.524663 t=5927
ji ke 	即可	c=3 d=1.65491 t=5927
ji kou 	忌口	c=1 d=0.000350903 t=5927
ji qi 	及其	c=1 d=0.00143012 t=5927
ji qi 	機器	c=1 d=0.00143728 t=5927
ji qian wan 	幾千萬	c=1 d=0.856415 t=5927
ji shi 	即使	c=1 d=1 t=5876
ji shi 	及時	c=1 d=1 t=5879
ji shu 	技術	c=6 d=0.964107 t=5927
ji shu 	計數	c=4 d=0.707253 t=5927
ji shu fang an 	技術方案	c=1 d=0.00339653 t=5927
ji shu shi xian 	技術實現	c=1 d=0.557106 t=5927
ji suan 	計算	c=40 d=2.93597 t=5927
ji suan luo ji 	計算邏輯	c=1 d=1.18285e-05 t=5927
ji ta 	吉他	c=0 d=0.0860708 t=5927
ji ta kou 	吉他口	c=1 d=0.865022 t=5927
ji yu 	基於	c=1 d=0.0526021 t=5927
ji yue 	幾月	c=2 d=0.695914 t=5927
jia 	加	c=4 d=0.807617 t=5927
jia ai 	家愛	c=0 d=0.1 t=5814
jia ben 	甲苯	c=1 d=0.00012909 t=5927
jia bu liao 	加不了	c=1 d=0.00451658 t=5927
jia ge 	加個	c=4 d=1.34747 t=5927
jia gou 	架构	c=6 d=1.21638 t=5927
jia kuai 	加快	c=1 d=0.29671 t=5927
jia le 	加了	c=0 d=0.0923116 t=5927
jia le ge 	加了個	c=1 d=0.927743 t=5927
jia mi 	加密	c=2 d=0.215082 t=5927
jia nei ge 	加內格	c=0 d=0.0865022 t=5927
jia rui 	家瑞	c=2 d=1.91851 t=5897
jia shang 	加上	c=1 d=0.196748 t=5927
jia shang gui ze 	加上規則	c=1 d=0.891366 t=5927
jia shang qu 	加上去	c=1 d=0.609571 t=5927
jia suan an 	甲酸銨	c=0 d=0.1 t=5583
jia suan an hong ni guan 	甲酸銨虹霓關	c=1 d=1 t=5584
jia yi 	甲一	c=1 d=0.778801 t=5927
jia yi dao 	加一道	c=1 d=0.501576 t=5927
jia yi xia 	加一下	c=3 d=0.824501 t=5927
jia zai 	加在	c=1 d=0.0154523 t=5927
jia zai 	夾在	c=1 d=0.327915 t=5927
jia zuo 	佳作	c=1 d=0.429557 t=5927
jian 	建	c=0 d=0.0458406 t=5927
jian 	鍵	c=0 d=0.0315058 t=5927
jian cha 	檢查	c=6 d=1.58597 t=5927
jian chi 	堅持	c=1 d=0.77118 t=5927
jian chi yao 	堅持要	c=1 d=0.22313 t=5927
jian dan 	簡單	c=2 d=0.19593 t=5927
jian fa 	減法	c=1 d=0.000483239 t=5927
jian kong 	監控	c=2 d=0.154898 t=5927
jian kong 	鉴空	c=1 d=0.0515605 t=5927
jian pan 	劍盤	c=-1 d=0 t=5927
jian pan 	鍵盤	c=2 d=0.980199 t=5927
jian pan ji 	劍盤及	c=-1 d=0 t=5927
jian quan 	健全	c=1 d=0.843665 t=5927
jian quan 	鑒權	c=1 d=0.847894 t=5927
jian rong 	兼容	c=13 d=1.97181 t=5927
jian rong fang an 	兼容方案	c=1 d=0.882497 t=5927
jian ting 	監聽	c=1 d=0.474734 t=5927
jian tong 	兼通	c=1 d=0.421052 t=5927
jiang 	將	c=5 d=0.778801 t=5927
jiang 	講	c=1 d=0.000333292 t=5927
jiang di 	降低	c=3 d=0.272532 t=5927
jiang ji 	降級	c=1 d=0.055299 t=5927
jiao 	叫	c=1 d=0.431711 t=5927
jiao ben 	腳本	c=6 d=0.888869 t=5927
jiao chang 	較長	c=1 d=0.064894 t=5927
jiao da 	較大	c=5 d=0.172176 t=5927
jiao di 	較低	c=1 d=0.177284 t=5927
jiao dui 	校對	c=1 d=0.733447 t=5927
jiao duo 	較多	c=2 d=0.000124403 t=5927
jiao hao de 	較好的	c=1 d=0.625002 t=5927
jiao hu 	交互	c=1 d=1 t=5695
jiao jie 	交接	c=1 d=0.98793 t=5927
jiao shi 	教師	c=0 d=0.057695 t=5927
jiao shi duan 	教師端	c=1 d=0.579842 t=5927
jiao wei 	較爲	c=3 d=0.75845 t=5927
jiao yan 	教研	c=3 d=0.772606 t=5927
jiao yu 	教育	c=1 d=0.285076 t=5927
jie 	接	c=1 d=1 t=5644
jie 	解	c=0 d=0.0634448 t=5927
jie chong tu 	解衝突	c=1 d=0.637628 t=5927
jie gou 	結構	c=1 d=1.48873e-05 t=5927
jie gou ti 	結構體	c=1 d=0.650509 t=5927
jie guo 	結果	c=6 d=0.551563 t=5927
jie jie 	姐姐	c=1 d=0.740818 t=5927
jie jue 	解決	c=2 d=0.191092 t=5927
jie kou 	接口	c=19 d=2.71989 t=5927
jie mian 	界面	c=1 d=0.631284 t=5927
jie shang 	接上	c=1 d=0.937067 t=5927
jie shu 	結束	c=1 d=0.847894 t=5927
jie su 	借宿	c=1 d=0.843665 t=5927
jie suo 	解鎖	c=1 d=1.52642e-05 t=5927
jie zou 	節奏	c=1 d=0.000150733 t=5927
jin dao 	進到	c=1 d=0.0471227 t=5927
jin dao 	金稻	c=1 d=0.0468877 t=5927
jin du 	進度	c=0 d=0.0818731 t=5927
jin du 	金度	c=1 d=0.818731 t=5927
jin du zheng chang 	進度正常	c=1 d=0.822835 t=5927
jin ji 	緊集	c=1 d=0.00408677 t=5927
jin jin 	僅僅	c=4 d=0.342082 t=5927
jin lai 	進來	c=1 d=0.480695 t=5927
jin le 	進了	c=1 d=0.106459 t=5927
jin qi 	近期	c=2 d=1.13645 t=5927
jin qu 	進去	c=1 d=0.0882497 t=5927
jin ru 	進入	c=1 d=0.000166586 t=5927
jin tian 	今天	c=11 d=1.266 t=5927
jin tian yao 	今天要	c=1 d=0.57695 t=5927
jin xiao 	進校	c=1 d=0.562705 t=5927
jin xing 	進行	c=26 d=2.2022 t=5927
jin xing le 	進行了	c=2 d=0.183708 t=5927
jing 	精	c=2 d=0.729789 t=5927
jing 	鯨	c=0 d=0.0955997 t=5927
jing jiao 	精校	c=2 d=1.52318 t=5927
jing lian 	精練	c=0 d=2.97529e-05 t=5927
jing lian jing jiang 	精練精講	c=1 d=0.00029902 t=5927
jing zheng 	競爭	c=1 d=0.398519 t=5927
jing zhun 	精準	c=1 d=0.0544757 t=5927
jiu 	就	c=8 d=1.12888 t=5927
jiu bu da dui jing 	就不大对境	c=1 d=0.305746 t=5927
jiu bu shi 	就不是	c=2 d=0.587883 t=5927
jiu dao zhi 	就導致	c=1 d=0.00213348 t=5927
jiu de 	就得	c=1 d=0.146895 t=5927
jiu de qu 	就得去	c=1 d=0.33454 t=5927
jiu ei kou 	就誒口	c=1 d=1.06495e-05 t=5927
jiu jin tian 	就今天	c=1 d=0.774916 t=5927
jiu kan kan 	就看看	c=1 d=0.357007 t=5927
jiu lai 	就來	c=1 d=1 t=5658
jiu mei 	就沒	c=1 d=0.00204983 t=5927
jiu mei you 	就沒有	c=1 d=0.00198925 t=5927
jiu shi 	就是	c=16 d=1.61558 t=5927
jiu shi kan 	就是看	c=1 d=1 t=5650
jiu shi shuo 	就是說	c=1 d=0.449329 t=5927
jiu wai le 	就歪了	c=1 d=1 t=5927
jiu wen wen 	就問問	c=1 d=0.092089 t=5927
jiu xian 	就先	c=1 d=0.302704 t=5927
jiu xian bu can jia le 	就先不參加了	c=1 d=0.814647 t=5927
jiu xiang 	就像	c=1 d=0.57695 t=5927
jiu xiang le 	就像了	c=1 d=0.444858 t=5927
jiu xing 	就行	c=2 d=0.438784 t=5927
jiu xing le 	就行了	c=3 d=0.894204 t=5927
jiu ying gai 	就應該	c=1 d=0.249075 t=5927
ju he 	聚合	c=2 d=0.062662 t=5927
ju ti 	具體	c=5 d=1.35106 t=5927
ju ti shi xian 	具體實現	c=1 d=0.537944 t=5927
jue de 	覺得	c=1 d=1 t=5870
jue jue zi 	絕絕子	c=1 d=0.33454 t=5927
jue wu 	覺悟	c=1 d=1 t=5862
jun zi 	俊子	c=6 d=2.71174 t=5927
jun zi ge ge 	俊子哥哥	c=2 d=0.995012 t=5927
kai de 	開的	c=2 d=0.00335958 t=5927
kai fa 	開發	c=4 d=0.776695 t=5927
kai fa cheng ben 	開發成本	c=1 d=0.273898 t=5927
kai fa ji 	開發及	c=1 d=0.251579 t=5927
kai fa ji 	開發機	c=5 d=0.961791 t=5927
kai guan 	開關	c=2 d=0.000294857 t=5927
kai hui 	開會	c=1 d=0.0295994 t=5927
kai hui qu 	開回去	c=0 d=0.00293049 t=5927
kai hui qu le 	開回去了	c=1 d=0.0294518 t=5927
kai jing kou 	開頸口	c=0 d=0.0882497 t=5927
kai jing kou ji ke 	開頸口即可	c=1 d=0.88692 t=5927
kai le 	開了	c=1 d=0.000422213 t=5927
kai qi 	開啓	c=2 d=0.57695 t=5927
kai shi 	開始	c=2 d=0.969676 t=5927
kan 	看	c=4 d=1.05818 t=5927
kan ban 	看板	c=1 d=0.0642483 t=5927
kan cuo 	看錯	c=1 d=0.535261 t=5927
kan da dian 	看打點	c=1 d=0.00179097 t=5927
kan dao 	看到	c=1 d=0.0579842 t=5927
kan dao de 	看到的	c=1 d=0.000370744 t=5927
kan hou mian 	看後面	c=1 d=1 t=5596
kan jian kong 	看監控	c=1 d=0.88692 t=5927
kan kan 	看看	c=3 d=0.720796 t=5927
kan kan ba 	看看吧	c=1 d=0.0160829 t=5927
kan ma 	看嗎	c=1 d=0.0632918 t=5927
kan na xie 	看那些	c=1 d=0.470011 t=5927
kan ri zi 	看日子	c=1 d=0.00193045 t=5927
kan shu ju 	看數據	c=1 d=0.000345679 t=5927
kan wen dang 	看文檔	c=1 d=0.418952 t=5927
kan wo 	看我	c=1 d=0.486752 t=5927
kan yi xia 	看一下	c=1 d=0.267135 t=5927
kan zhe 	看着	c=5 d=1.2022 t=5927
kang kang 	康康	c=0 d=0.0431711 t=5927
kao lv 	考慮	c=8 d=0.670496 t=5927
ke 	可	c=6 d=1.21098 t=5927
ke 	課	c=2 d=0.980199 t=5927
ke bie 	可別	c=1 d=0.25924 t=5927
ke cheng 	課程	c=1 d=2.99794e-05 t=5927
ke cheng jie 	可承接	c=2 d=0.222195 t=5927
ke cheng jie ei 	可承接誒	c=1 d=0.000173384 t=5927
ke hu duan 	客戶端	c=1 d=0.416862 t=5927
ke neng 	可能	c=13 d=1.53888 t=5927
ke neng hui 	可能會	c=0 d=0.0609571 t=5927
ke neng hui cun zai 	可能會存在	c=1 d=0.612626 t=5927
ke neng shi 	可能是	c=1 d=0.418952 t=5927
ke neng you 	可能有	c=1 d=1.90204e-05 t=5927
ke shi 	可視	c=1 d=0.767206 t=5927
ke shi hua 	可視化	c=2 d=1.2216 t=5927
ke yi 	可以	c=23 d=1.65584 t=5927
ke yi a 	可以啊	c=3 d=0.555892 t=5927
ke yi ba 	可以吧	c=1 d=0.449329 t=5927
ke yi bu 	可以不	c=0 d=0.00566989 t=5927
ke yi bu xie 	可以不寫	c=1 d=0.0569831 t=5927
ke yi gen ju 	可以根據	c=1 d=0.0739031 t=5927
ke yi he 	克一河	c=1 d=0.0323869 t=5927
ke yi he 	可以和	c=1 d=0.0343896 t=5927
ke yi he chan pin 	可以和產品	c=1 d=0.0325493 t=5927
ke yi le 	可以了	c=1 d=0.559898 t=5927
ke yi le ma 	可以了嗎	c=1 d=0.778801 t=5927
ke yi shuo shi 	可以說是	c=1 d=0.532592 t=5927
ke yi tiao 	可以調	c=1 d=1 t=5733
ke yi wang 	可以往	c=1 d=0.88692 t=5927
ke yi yong 	可以用	c=1 d=0.298197 t=5927
ke yi zai 	可以再	c=1 d=0.000130387 t=5927
ke zhi chi 	可支持	c=1 d=0.353455 t=5927
ke zhong 	課中	c=5 d=0.961412 t=5927
ken ding 	肯定	c=0 d=0.00531307 t=5927
kong xin 	空心	c=1 d=0.704688 t=5927
kong zhi 	控制	c=1 d=0.900325 t=5927
kou 	口	c=0 d=0.0860708 t=5927
ku 	庫	c=1 d=0.23457 t=5927
kuai su 	快速	c=3 d=1.67264 t=5927
kuai zhao 	快照	c=2 d=9.66179e-05 t=5927
kuan biao 	寬表	c=4 d=0.913931 t=5927
kuo hao 	括號	c=1 d=0.831104 t=5927
kuo rong 	擴容	c=1 d=0.349938 t=5927
kuo xiao 	擴校	c=2 d=0.0596059 t=5927
kuo zai 	擴在	c=1 d=0.0792617 t=5927
kuo zha 	擴炸	c=1 d=0.402524 t=5927
kuo zhan 	擴展	c=9 d=2.64992 t=5927
kuo zhan xing 	擴展性	c=1 d=0.0824965 t=5927
la 	拉	c=0 d=0.067032 t=5927
la bu liao 	拉不了	c=1 d=0.67368 t=5927
la ge 	拉個	c=1 d=0.308819 t=5927
lai 	來	c=3 d=0.438235 t=5927
lai lai lai 	來來來	c=1 d=0.65377 t=5927
lai pan duan 	來判斷	c=1 d=0.0315873 t=5927
lai yuan 	來源	c=7 d=4.49781 t=5927
lai zhao wo 	來找我	c=1 d=0.715338 t=5927
lai zhe 	來着	c=2 d=0.917841 t=5927
lai zuo 	來做	c=1 d=0.000689186 t=5927
