# Rime user dictionary
#@/db_name	rime_ice
#@/db_type	userdb
#@/rime_version	1.13.0
#@/tick	58
#@/user_id	rime_ice
a 	啊	c=2731 d=5.96503 t=58
dou zai 	都在	c=29 d=0.814647 t=58
dou zai bao 	都在宝	c=1 d=5.45314e-14 t=58
dou zai juan 	都在卷	c=3 d=1.23557e-18 t=58
dou zai na 	都在那	c=1 d=1.37877e-14 t=58
dou zai yong 	都在用	c=1 d=1.04671e-37 t=58
dou zha le 	都炸了	c=1 d=4.92649e-25 t=58
dou zhao 	都找	c=1 d=1.53616e-21 t=58
dou zhao bu dao 	都找不到	c=1 d=2.09701e-06 t=58
dou zhe ge dian 	都这个点	c=1 d=3.01184e-30 t=58
dou zhi dao 	都知道	c=4 d=0.0441572 t=58
dou zhi hui 	都只会	c=1 d=3.44306e-16 t=58
dou zhi shi 	都只是	c=1 d=5.18807e-16 t=58
dou zhi xu yao 	都只需要	c=1 d=3.04626e-46 t=58
dou zhi you 	都只有	c=2 d=3.59224e-15 t=58
dou zhi zou 	都直走	c=1 d=5.83344e-13 t=58
dou zi 	豆子	c=2 d=6.29398e-28 t=58
dou zou 	都走	c=4 d=6.49051e-05 t=58
dou zou de 	都走的	c=1 d=5.88667e-61 t=58
dou zou guang le 	都走光了	c=1 d=0.0237541 t=58
dou zou wan le 	都走完了	c=1 d=0.000652304 t=58
du 	嘟	c=5 d=1.28823e-09 t=58
du 	度	c=17 d=2.73359 t=58
du 	杜	c=5 d=0.00421123 t=58
du 	毒	c=1 d=1.34729e-07 t=58
du 	读	c=43 d=1.08894 t=58
du 	赌	c=3 d=0.000196133 t=58
du 	都	c=0 d=0.0818731 t=58
du ba 	度巴	c=0 d=1.54759e-21 t=58
du bang 	杜邦	c=0 d=2.86993e-22 t=58
du bang te 	杜邦特	c=1 d=2.88431e-21 t=58
du bo 	赌博	c=2 d=0.985112 t=58
du bu 	都不	c=0 d=7.63355e-31 t=58
du bu dao 	都不到	c=3 d=0.000261259 t=58
du bu dong 	读不懂	c=1 d=2.55468e-05 t=58
du chang 	赌场	c=1 d=0.000205513 t=58
du chu lai 	读出来	c=2 d=7.31383e-28 t=58
du chu lai le 	读出来了	c=1 d=5.944e-28 t=58
du da 	毒打	c=1 d=4.14995e-07 t=58
du dao 	读到	c=2 d=0.000119453 t=58
du dao dao 	读到到	c=1 d=0.00120052 t=58
du de 	读得	c=1 d=1.4607e-46 t=58
du de 	都得	c=1 d=9.56648e-09 t=58
du gou 	赌狗	c=7 d=0.000187424 t=58
du hou gan 	读后感	c=2 d=0.164585 t=58
du jia 	独家	c=1 d=5.32484e-28 t=58
du jie kou 	度接口	c=1 d=9.6128e-07 t=58
du le 	赌了	c=1 d=1.01301e-05 t=58
du li 	毒力	c=1 d=8.66201e-17 t=58
du li 	独立	c=14 d=1.07843e-06 t=58
du li ji qun 	独立集群	c=1 d=1.52772e-15 t=58
du liu liang 	读流量	c=1 d=0.00918669 t=58
du miao 	独苗	c=2 d=0.0234005 t=58
du na 	都拿	c=0 d=2.22358e-20 t=58
du pin 	毒品	c=2 d=5.23582e-27 t=58
du qu 	读取	c=64 d=0.186624 t=58
du qu dao 	读取到	c=1 d=1.27052e-52 t=58
du qu shi 	读取时	c=1 d=1.39571e-40 t=58
du ru 	读入	c=1 d=1.34427e-10 t=58
du sha 	毒杀	c=1 d=2.05472e-31 t=58
du shu 	读书	c=2 d=1.25058e-13 t=58
du te 	独特	c=2 d=2.34077e-35 t=58
du te de 	独特的	c=0 d=0.0519442 t=58
du wan 	读完	c=4 d=0.0500366 t=58
du xie 	读写	c=12 d=0.0139578 t=58
du xie le 	读写了	c=1 d=5.98315e-17 t=58
du xie suo 	读写锁	c=1 d=9.33982e-21 t=58
du you 	独有	c=1 d=2.46707e-65 t=58
du you de 	独有的	c=1 d=0.000845993 t=58
du zhu 	堵住	c=2 d=1.07058e-58 t=58
du zi 	肚子	c=2 d=7.26744e-40 t=58
du zuo 	都做	c=1 d=5.5448e-63 t=58
duan 	断	c=2 d=4.5289e-35 t=58
duan 	段	c=12 d=1.23813e-13 t=58
duan 	短	c=7 d=7.54731e-14 t=58
duan 	端	c=120 d=0.88692 t=58
duan chu qu 	端出去	c=1 d=2.78606e-25 t=58
duan dao 	断道	c=1 d=3.34757e-38 t=58
duan dian 	断点	c=2 d=0.0531307 t=58
duan diao 	断掉	c=2 d=6.13148e-11 t=58
duan fa 	短发	c=1 d=0.00562801 t=58
duan jie 	断结	c=1 d=1.21486e-25 t=58
duan ju 	断句	c=1 d=1.46982e-31 t=58
duan ju ben 	端剧本	c=1 d=4.59719e-64 t=58
duan kai 	断开	c=2 d=2.49933e-12 t=58
duan kou 	断口	c=2 d=0.479505 t=58
duan kou 	端口	c=3 d=0.00243162 t=58
duan kou hao 	端口号	c=1 d=0.472367 t=58
duan le 	断了	c=1 d=1.36361e-31 t=58
duan le 	短了	c=1 d=1.13624e-32 t=58
duan lian 	断连	c=1 d=1.4273e-68 t=58
duan lian 	煅炼	c=1 d=0.246597 t=58
duan lian 	锻炼	c=1 d=8.84e-21 t=58
duan lian duan lian 	煅炼煅炼	c=1 d=8.79591e-21 t=58
duan liu 	断流	c=1 d=4.33123e-10 t=58
duan luo 	段落	c=8 d=8.01517e-29 t=58
duan pian 	短篇	c=1 d=3.97871e-70 t=58
duan qi 	短期	c=12 d=0.157237 t=58
duan qi lai kan 	短期来看	c=1 d=1.05446e-65 t=58
duan qi nei 	短期内	c=1 d=2.00283e-83 t=58
duan shang 	端上	c=1 d=0.00111378 t=58
duan shi jian 	段时间	c=0 d=5.73041e-69 t=58
duan shi jian 	短时间	c=3 d=4.80544e-17 t=58
duan shi pin 	短视频	c=3 d=0.000593188 t=58
duan wang 	断网	c=1 d=7.19781e-15 t=58
duan wei 	断位	c=1 d=6.88929e-29 t=58
duan wei 	段位	c=1 d=6.92382e-29 t=58
duan wen 	短文	c=1 d=4.40957e-15 t=58
duan wu 	端午	c=15 d=2.72381e-05 t=58
duan yan 	断言	c=8 d=0.00250366 t=58
duan yan shi bai 	断言失败	c=1 d=2.09003e-55 t=58
duan zan 	短暂	c=1 d=1.51247e-44 t=58
dui 	堆	c=4 d=0.0328764 t=58
dui 	对	c=333 d=2.45676 t=58
dui a 	对啊	c=34 d=0.290814 t=58
dui an 	对岸	c=0 d=0.0282239 t=58
dui ba 	对吧	c=6 d=0.514274 t=58
dui ban 	对半	c=0 d=1.76821e-30 t=58
dui ban er 	对半儿	c=1 d=1.00813e-07 t=58
dui ban kan 	对半砍	c=1 d=1.77707e-29 t=58
dui ben ci 	对本次	c=1 d=0.0277367 t=58
dui bi 	对比	c=26 d=0.0718924 t=58
dui bi de 	对比的	c=1 d=3.14127e-25 t=58
dui bi le 	对比了	c=1 d=3.42054e-27 t=58
dui bi yi xia 	对比一下	c=1 d=1.17695e-05 t=58
dui bi zhi xia 	对比之下	c=1 d=0.722527 t=58
dui biao 	对标	c=4 d=1.64642e-13 t=58
dui biao de 	队标的	c=1 d=6.76689e-24 t=58
dui bu dui 	对不对	c=5 d=0.369723 t=58
dui bu liao 	对不了	c=1 d=8.40315e-13 t=58
dui bu shang 	对不上	c=8 d=0.666977 t=58
dui bu tong 	对不同	c=1 d=0.0515605 t=58
dui ce lue 	对策略	c=1 d=1.69391e-24 t=58
dui cha jian 	对插件	c=1 d=0.65377 t=58
dui cha xun 	对查询	c=1 d=1.09191e-05 t=58
dui chong 	对冲	c=1 d=3.93589e-31 t=58
dui ci 	对此	c=2 d=0.172045 t=58
dui cu 	对粗	c=1 d=4.15489e-21 t=58
dui cun chu 	对存储	c=2 d=0.37022 t=58
dui cuo 	对错	c=4 d=1.50092e-20 t=58
dui dai 	对待	c=2 d=2.38399e-15 t=58
dui dai ma 	对代码	c=1 d=7.36073e-43 t=58
dui de 	对的	c=13 d=0.29523 t=58
dui de ba 	对的吧	c=2 d=9.3624e-20 t=58
dui diao yong 	对调用	c=1 d=1.39045e-25 t=58
dui dou bao 	对豆包	c=1 d=2.5334e-83 t=58
dui dui 	对对	c=1 d=0.0960789 t=58
dui dui dui 	对对对	c=3 d=1.93605 t=58
dui duo ge 	对多个	c=2 d=1.13599e-20 t=58
dui fang 	对方	c=10 d=1.75124 t=58
dui fang de 	对方的	c=3 d=0.140858 t=58
dui fen xi 	对分析	c=1 d=3.17608e-37 t=58
dui guo le 	对过了	c=3 d=0.680451 t=58
dui hao 	对号	c=0 d=4.9777e-30 t=58
dui hou xu 	对后续	c=1 d=8.19149e-07 t=58
dui hua 	对话	c=10 d=0.013899 t=58
dui hua kuang 	对话框	c=1 d=4.4554e-19 t=58
dui hua lei 	对话类	c=1 d=1.5153e-66 t=58
dui hua xiang 	对画像	c=1 d=5.56709e-22 t=58
dui huan bi 	对环比	c=1 d=8.56797e-65 t=58
dui hui 	队徽	c=1 d=6.44256e-05 t=58
dui ji 	堆积	c=15 d=7.78065e-16 t=58
dui ji le 	堆积了	c=1 d=1.39045e-25 t=58
dui jian 	对建	c=1 d=4.94782e-17 t=58
dui jie kou 	对接口	c=1 d=1.45198e-05 t=58
dui jin 	对劲	c=1 d=0.000103597 t=58
dui jing 	对境	c=0 d=0.0304221 t=58
dui ke cheng 	对课程	c=1 d=2.29051e-15 t=58
dui le 	对了	c=5 d=3.2409e-10 t=58
dui le kan er 	对了槛儿	c=1 d=2.2829e-64 t=58
dui le ma 	对了吗	c=1 d=2.90924e-34 t=58
dui lie 	队列	c=14 d=7.71445e-07 t=58
dui ma 	兑马	c=7 d=0.000713734 t=58
dui ma 	对吗	c=3 d=0.00019647 t=58
dui mian 	对面	c=8 d=0.0143172 t=58
dui mian de 	对面的	c=1 d=2.28142e-27 t=58
dui mian le 	对面了	c=1 d=0.00683978 t=58
dui mo xing 	对模型	c=2 d=1.6641e-21 t=58
dui mou ge 	对某个	c=1 d=0.0198411 t=58
dui nei 	对内	c=4 d=0.000368362 t=58
dui ni 	对你	c=1 d=0.0543351 t=58
dui ni zhe 	对你这	c=1 d=0.546074 t=58
dui qi 	对其	c=1 d=6.98033e-07 t=58
dui qi 	对齐	c=19 d=0.000534061 t=58
dui qi ta 	对其他	c=2 d=1.68432e-16 t=58
dui ran 	对然	c=1 d=4.77099e-30 t=58
dui ren 	对人	c=1 d=0.26982 t=58
dui shang 	对上	c=9 d=1.69642e-05 t=58
dui shang de 	对上的	c=2 d=5.12406e-17 t=58
dui shang ma 	对上吗	c=1 d=1.04999e-15 t=58
dui shi shi 	对实时	c=1 d=0.0672055 t=58
dui shu chu 	对输出	c=1 d=7.92971e-66 t=58
dui shu ju 	对数据	c=2 d=4.10865e-07 t=58
dui shui 	对谁	c=0 d=6.47685e-39 t=58
dui ta 	对他	c=1 d=7.59418e-28 t=58
dui ta 	对她	c=1 d=2.64248e-22 t=58
dui ta men 	对他们	c=2 d=0.0270518 t=58
dui ti mu 	对题目	c=3 d=0.000608204 t=58
dui tong yong 	对通用	c=1 d=8.0918e-10 t=58
dui wai 	对外	c=41 d=0.852144 t=58
dui wai bao lu 	对外暴露	c=1 d=0.0236356 t=58
dui wan 	对完	c=1 d=5.00877e-14 t=58
dui wan le 	对完了	c=2 d=4.19308e-11 t=58
dui wen jian 	对文件	c=1 d=0.537944 t=58
dui wen ti 	对问题	c=1 d=1.34071e-67 t=58
dui wo 	对我	c=3 d=4.18154e-08 t=58
dui wo jia 	对我家	c=1 d=2.66066e-42 t=58
dui wo men 	对我们	c=4 d=0.401772 t=58
dui wu 	对物	c=1 d=8.89973e-12 t=58
dui wu 	队伍	c=1 d=8.94434e-12 t=58
dui xia you 	对下游	c=3 d=7.14342e-14 t=58
dui xiang 	对象	c=21 d=0.680451 t=58
dui xiang guan 	对相关	c=2 d=0.127454 t=58
dui xin biao qian 	对新标签	c=1 d=0.806541 t=58
dui xing neng 	对性能	c=2 d=1.47774e-06 t=58
dui xue sheng 	对学生	c=1 d=7.08054e-57 t=58
dui ye wu 	对业务	c=4 d=0.2767 t=58
dui yi 	对易	c=1 d=2.32426e-40 t=58
dui yi dao 	对一道	c=1 d=2.2578e-81 t=58
dui yi ge 	对一个	c=4 d=0.00343067 t=58
dui yi xia 	对一下	c=19 d=0.822835 t=58
dui yi xia a 	对一下啊	c=1 d=1.06843e-14 t=58
dui yi xian an ji fen 	对乙酰氨基酚	c=1 d=1.15145e-12 t=58
dui yi xie 	对一些	c=3 d=0.0315351 t=58
dui yin 	对饮	c=2 d=0.000185956 t=58
dui ying 	对应	c=443 d=1.63092 t=58
dui ying de 	对应的	c=20 d=0.0575558 t=58
dui ying de bu shi 	对应的不是	c=1 d=4.77749e-46 t=58
dui ying de jiu shi 	对应的就是	c=1 d=5.03645e-20 t=58
dui ying de shi 	对应的事	c=1 d=8.97789e-56 t=58
dui ying de wen ti 	对应的问题	c=1 d=5.73078e-10 t=58
dui ying yu 	对应于	c=1 d=2.78274e-11 t=58
dui you 	队友	c=2 d=0.000689186 t=58
dui yu 	对于	c=238 d=2.53823 t=58
dui yu de 	对于的	c=1 d=6.2865e-40 t=58
dui yu mei ge 	对于每个	c=1 d=5.20044e-44 t=58
dui yu mo xing 	对于模型	c=1 d=0.108609 t=58
dui yu wo men 	对于我们	c=1 d=5.27921e-15 t=58
dui yu yi xie 	对于一些	c=1 d=3.64343e-05 t=58
dui yuan you 	对原有	c=1 d=1.42342e-36 t=58
dui zhan 	堆栈	c=1 d=4.29763e-36 t=58
dui zhao 	对照	c=2 d=2.23784e-06 t=58
dui zhao zu 	对照组	c=8 d=1.11862e-05 t=58
dui zhe 	对着	c=2 d=1.96979e-05 t=58
dui zhe bu fen 	对这部分	c=1 d=6.80081e-24 t=58
dui zhe duan hua 	对这段话	c=1 d=6.42134e-25 t=58
dui zhe ge 	对这个	c=1 d=3.74533e-06 t=58
dui zhe xie 	对这些	c=1 d=2.05046e-36 t=58
dui zhe zhong 	对这种	c=1 d=3.21532e-05 t=58
dui zheng ge 	对整个	c=1 d=0.207008 t=58
dui zheng ti 	对整体	c=3 d=3.71766e-07 t=58
dui zhi qian 	对之前	c=2 d=2.2909e-17 t=58
dui zhong guo 	对中国	c=1 d=5.59499e-22 t=58
dun 	蹲	c=0 d=3.19809e-31 t=58
dun 	顿	c=3 d=4.11145e-15 t=58
dun zhe 	蹲着	c=1 d=2.92283e-30 t=58
duo 	多	c=94 d=0.941765 t=58
duo 	朵	c=0 d=1.66037e-25 t=58
duo a 	多啊	c=4 d=1.16825e-06 t=58
duo ba 	多吧	c=2 d=0.00353515 t=58
duo ban ben 	多版本	c=3 d=6.04301e-32 t=58
duo bu duo 	多不多	c=1 d=1.3299e-60 t=58
duo bu shao 	多不少	c=1 d=1.95251e-19 t=58
duo ceng ji 	多层级	c=1 d=3.7763e-44 t=58
duo chang 	多长	c=1 d=1.4095e-38 t=58
duo chou 	多抽	c=1 d=2.76359e-18 t=58
duo chou xiang 	多抽象	c=1 d=9.42245e-07 t=58
duo chu lai 	多出来	c=2 d=1.46552e-26 t=58
duo chu men 	多出门	c=1 d=2.07614e-06 t=58
duo ci 	多次	c=24 d=0.0997738 t=58
duo cong 	多从	c=1 d=0.00082099 t=58
duo da 	多大	c=10 d=0.0332068 t=58
duo de 	多得	c=1 d=6.31821e-11 t=58
duo de 	多的	c=11 d=2.95331e-05 t=58
duo de ma 	多的吗	c=1 d=2.72885e-75 t=58
duo dian 	多点	c=7 d=0.0208598 t=58
duo dian xie ru 	多点写入	c=1 d=0.00373503 t=58
duo duo 	多多	c=1 d=6.62162e-05 t=58
duo duo yi shan 	多多益善	c=1 d=1.44995e-18 t=58
duo fa 	多发	c=1 d=0.00862936 t=58
duo fa le 	多发了	c=1 d=0.0867261 t=58
duo fan suan an 	多钒酸铵	c=0 d=3.54298e-30 t=58
duo fan suan an fa song dao 	多钒酸铵发送到	c=1 d=3.56074e-29 t=58
duo fang 	多放	c=3 d=1.03424e-19 t=58
duo fang mian 	多方面	c=1 d=8.56825e-36 t=58
duo fu ben 	多副本	c=1 d=1.28577e-16 t=58
duo gan ga 	多尴尬	c=1 d=7.37876e-13 t=58
duo ge 	多个	c=69 d=0.618876 t=58
duo guo qu 	躲过去	c=1 d=3.31493e-11 t=58
duo hang 	多行	c=1 d=1.10228e-28 t=58
duo hao 	多好	c=1 d=1.15943e-06 t=58
duo hao kan 	多好看	c=1 d=3.94314e-82 t=58
duo he li 	多合理	c=1 d=1.28621e-20 t=58
duo hei 	多黑	c=1 d=1.28398e-29 t=58
duo huan jing 	多环境	c=6 d=0.311923 t=58
duo ji 	多急	c=1 d=1.25203e-56 t=58
duo ji qun 	多集群	c=1 d=9.39782e-35 t=58
duo jiao 	多交	c=1 d=0.000330468 t=58
duo jie 	多节	c=3 d=1.96004e-08 t=58
duo jin xing 	多进行	c=2 d=3.94688e-05 t=58
duo jiu 	多久	c=27 d=0.00433948 t=58
duo kai xin 	多开心	c=1 d=3.47767e-16 t=58
duo kan 	多看	c=1 d=0.715338 t=58
duo kan kan 	多看看	c=1 d=8.31502e-36 t=58
duo kuai 	多块	c=0 d=1.15404e-10 t=58
duo kuai le 	多快乐	c=2 d=5.91436e-28 t=58
duo lai 	多来	c=4 d=6.09986e-09 t=58
duo le 	多了	c=31 d=0.00852297 t=58
duo le de hua 	多了的话	c=1 d=0.000796726 t=58
duo le dian 	多了点	c=1 d=3.38593e-25 t=58
duo le ge 	多了个	c=2 d=0.0239928 t=58
duo le ma 	多了吗	c=1 d=1.30286e-83 t=58
duo le ne 	多了呢	c=1 d=1.03186e-16 t=58
duo lei 	多累	c=1 d=2.26772e-16 t=58
duo liao jie 	多了解	c=1 d=8.3567e-36 t=58
duo lun 	多轮	c=1 d=0.000728153 t=58
duo ma 	多玛	c=1 d=4.5643e-09 t=58
duo mai 	多买	c=3 d=5.71404e-05 t=58
duo mei 	多寐	c=0 d=1.68724e-08 t=58
duo miao 	多妙	c=1 d=3.66832e-85 t=58
duo mo 	多模	c=0 d=1.76214e-19 t=58
duo mo tai 	多模台	c=1 d=1.75336e-18 t=58
duo mo tai 	多模态	c=15 d=0.50409 t=58
duo nan chi 	多难吃	c=2 d=0.615697 t=58
duo nian 	多年	c=3 d=0.00878245 t=58
duo pai 	多排	c=2 d=3.66294e-09 t=58
duo pei 	多配	c=1 d=1.54229e-09 t=58
duo pei pei 	多陪陪	c=1 d=9.24217e-15 t=58
duo pi pan 	多批判	c=1 d=0.112478 t=58
duo qing 	多请	c=1 d=1.36176e-15 t=58
duo ren 	多人	c=1 d=5.68052e-24 t=58
duo sha 	多杀	c=1 d=3.09345e-21 t=58
duo shao 	多少	c=69 d=0.480699 t=58
duo shao bei 	多少倍	c=1 d=0.0780817 t=58
duo shao dao 	多少道	c=1 d=6.19205e-09 t=58
duo shao ju 	多少句	c=1 d=4.32505e-52 t=58
duo shao le 	多少了	c=1 d=6.88226e-17 t=58
duo shao qian 	多少钱	c=3 d=0.00216573 t=58
duo shao ren 	多少人	c=1 d=1.85697e-17 t=58
duo shao shi 	多少事	c=1 d=4.48231e-31 t=58
duo shao ti 	多少题	c=4 d=0.00136719 t=58
duo shao tian 	多少天	c=1 d=2.62292e-21 t=58
duo shi 	多是	c=1 d=3.9156e-29 t=58
duo shi 	多食	c=0 d=1.26749e-25 t=58
duo shi he 	多适合	c=1 d=5.95837e-27 t=58
duo shi li 	多实例	c=1 d=1.55102e-46 t=58
duo shu 	多数	c=2 d=2.77972e-57 t=58
duo shui jiao 	多睡觉	c=1 d=0.606531 t=58
duo tao 	多套	c=4 d=5.76364e-26 t=58
duo ti 	多提	c=1 d=2.83307e-16 t=58
duo ti zu 	多题组	c=1 d=6.44585e-11 t=58
duo tiao 	多条	c=4 d=0.353455 t=58
duo tu 	多图	c=1 d=6.8596e-37 t=58
duo tuan dui 	多团队	c=1 d=3.3552e-06 t=58
duo tui jian 	多推荐	c=1 d=0.367879 t=58
duo wan 	多万	c=1 d=1.49457e-51 t=58
duo wei du 	多纬度	c=3 d=4.28667e-06 t=58
duo xiang 	多像	c=1 d=2.03047e-09 t=58
duo xiang 	多项	c=1 d=5.30116e-05 t=58
duo xie 	多谢	c=2 d=3.03901e-18 t=58
duo xie cheng 	多协程	c=1 d=7.07114e-12 t=58
duo xie xie 	多写写	c=1 d=5.64834e-16 t=58
duo xing 	多形	c=0 d=6.28563e-10 t=58
duo xuan 	多选	c=1 d=0.0113608 t=58
duo xuan le 	多选了	c=1 d=0.114178 t=58
duo xuan ti 	多选题	c=1 d=3.67305e-12 t=58
duo yang de 	多样的	c=1 d=0.00465413 t=58
duo yang xing 	多样性	c=1 d=2.9051e-76 t=58
duo yi dian 	多一点	c=1 d=7.32176e-10 t=58
duo yi tian 	多一天	c=1 d=1.4472e-25 t=58
duo yi xie 	多一些	c=2 d=4.97516e-23 t=58
duo you 	多友	c=4 d=7.43621e-16 t=58
duo you yi si 	多有意思	c=2 d=2.54938e-10 t=58
duo yu 	多余	c=9 d=0.00104891 t=58
duo yue 	多月	c=2 d=0.0349094 t=58
duo zhang 	多张	c=0 d=1.70067e-13 t=58
duo zhang tu 	多张图	c=1 d=1.70919e-12 t=58
duo zhao hui 	多召回	c=1 d=3.60154e-16 t=58
duo zhong 	多种	c=7 d=0.0352602 t=58
duo zhu 	多主	c=1 d=0.00251621 t=58
duo zhu 	多助	c=1 d=0.00104891 t=58
duo zi duo cai 	多姿多彩	c=2 d=0.0202419 t=58
duo zu hu 	多租户	c=4 d=0.168164 t=58
duo zuo 	多做	c=0 d=4.20394e-13 t=58
duo zuo dian 	多做点	c=1 d=4.22501e-12 t=58
e 	额	c=122 d=2.51307 t=58
e 	饿	c=3 d=0.008396 t=58
e dao 	恶道	c=1 d=1.81236e-25 t=58
e du 	额度	c=11 d=0.0495868 t=58
e le 	饿了	c=0 d=2.28343e-09 t=58
e le ma 	额了吗	c=1 d=2.28343e-08 t=58
e le ma 	饿了吗	c=5 d=6.84081e-07 t=58
e lu 	恶露	c=0 d=1.24409e-41 t=58
e ma 	恶骂	c=0 d=4.74977e-08 t=58
e mi 	厄米	c=0 d=1.04134e-07 t=58
e nv 	恶女	c=2 d=1.99229e-21 t=58
e shi 	恶实	c=1 d=3.74597e-08 t=58
e ti 	颚体	c=0 d=4.38832e-18 t=58
e wai 	额外	c=60 d=0.873969 t=58
e wai chu li 	额外处理	c=1 d=1.22878e-12 t=58
e wai de 	额外的	c=11 d=0.321422 t=58
e wai shi xian 	额外实现	c=1 d=1.97012e-07 t=58
e wu 	俄乌	c=1 d=0.110803 t=58
e xin 	恶心	c=8 d=0.07543 t=58
e ya sha 	鹅鸭杀	c=1 d=0.000294568 t=58
e zou 	额走	c=1 d=9.19138e-09 t=58
eh 	诶	c=1 d=0.0729789 t=58
ei 	诶	c=0 d=0.000551656 t=58
en 	嗯	c=5 d=0.0178634 t=58
en 	恩	c=437 d=3.62519 t=58
en 	摁	c=1 d=1.46099e-19 t=58
en dui 	恩对	c=2 d=1.9613e-13 t=58
en gong neng 	恩功能	c=1 d=1.12264e-08 t=58
en na ge 	恩那个	c=1 d=1.42589e-27 t=58
en wen ni ti 	恩问你题	c=6 d=0.00923273 t=58
eng 	嗯	c=0 d=7.86067e-23 t=58
er 	二	c=12 d=0.0532592 t=58
er 	尔	c=1 d=2.22668e-06 t=58
er 	而	c=10 d=0.694197 t=58
er ba nian 	二八年	c=0 d=0.00507928 t=58
er ben 	二苯	c=1 d=2.24478e-13 t=58
er bu 	而不	c=0 d=0.00235177 t=58
er bu shi 	而不是	c=9 d=2.90934e-05 t=58
er bu zai zhi shi 	而不在知识	c=1 d=0.0236356 t=58
er can jia 	而参加	c=1 d=1.30747e-07 t=58
er ci 	二次	c=2 d=1.06513e-07 t=58
er ci yuan 	二次元	c=3 d=0.00131675 t=58
er dai 	二代	c=3 d=1.02493e-25 t=58
er dui yu 	二对于	c=2 d=0.535261 t=58
er duo 	耳朵	c=1 d=9.70745e-34 t=58
er er 	二二	c=0 d=1.51123e-06 t=58
er fang dong 	二房东	c=1 d=1.52585e-30 t=58
er fen 	二分	c=4 d=6.48052e-33 t=58
er fen fa 	二分法	c=1 d=1.03594e-33 t=58
er ge 	二哥	c=0 d=1.91255e-12 t=58
er gen 	二根	c=1 d=1.74734e-07 t=58
er guan 	二观	c=0 d=1.80614e-15 t=58
er hao 	二号	c=1 d=3.43651e-23 t=58
er hou 	而后	c=18 d=0.873716 t=58
er ji 	二级	c=3 d=0.0655462 t=58
er ji 	二际	c=1 d=2.16345e-20 t=58
er ji 	耳机	c=14 d=0.0652193 t=58
er jin zhi 	二进制	c=4 d=1.12995e-39 t=58
er li 	二力	c=8 d=0.0509156 t=58
er qi 	二期	c=53 d=0.344728 t=58
er qi 	而其	c=1 d=4.5769e-12 t=58
er qie 	而且	c=94 d=1.01751 t=58
er ri 	二日	c=0 d=1.7655e-12 t=58
er ri qu 	二日去	c=1 d=1.77435e-11 t=58
er san 	二三	c=1 d=4.21912e-25 t=58
er shi 	二食	c=2 d=0.119433 t=58
er shi 	而是	c=1 d=1.32061e-07 t=58
er shi duo 	二十多	c=0 d=0.0119433 t=58
er shi duo tian 	二十多天	c=1 d=0.120032 t=58
er shou 	二手	c=10 d=0.00852289 t=58
er shou qun 	二手群	c=4 d=4.40418e-13 t=58
er shua 	二刷	c=1 d=4.52904e-06 t=58
er wai 	而外	c=2 d=0.733447 t=58
er wei 	二维	c=9 d=0.466094 t=58
er wen ji 	耳温计	c=1 d=2.83944e-13 t=58
er wo 	而我	c=1 d=0.0225956 t=58
er wu nian 	二五年	c=0 d=4.5595e-27 t=58
er yan 	二言	c=1 d=0.529935 t=58
er yan 	而言	c=4 d=0.532592 t=58
er yang 	二阳	c=2 d=5.16777e-18 t=58
er yi 	而已	c=37 d=0.537944 t=58
er yi ge 	而已个	c=1 d=0.000152248 t=58
er zhe 	二者	c=1 d=0.0925506 t=58
er zhe bu fen 	而这部分	c=1 d=3.34415e-26 t=58
fa 	发	c=41 d=0.152211 t=58
fa 	法	c=8 d=0.802519 t=58
fa an shuai 	发案率	c=2 d=2.09915e-18 t=58
fa ban 	发版	c=3 d=1.43597e-14 t=58
fa bao 	法爆	c=1 d=1.83219e-06 t=58
fa bu 	发布	c=32 d=0.0138172 t=58
fa bu dao 	发不到	c=1 d=1.49721e-13 t=58
fa bu dao le 	发布到了	c=1 d=6.51374e-46 t=58
fa bu de 	发布的	c=1 d=9.09837e-07 t=58
fa bu guo cheng 	发布过程	c=1 d=8.40145e-40 t=58
fa bu hou 	发布后	c=2 d=1.7404e-19 t=58
fa bu hui 	发布会	c=3 d=8.11136e-09 t=58
fa bu jie duan 	发布阶段	c=1 d=8.21662e-43 t=58
fa bu le 	发不了	c=1 d=3.40521e-33 t=58
fa bu liao 	发不了	c=3 d=4.27633e-07 t=58
fa bu shi 	发布时	c=1 d=6.24982e-30 t=58
fa bu shi jian 	发布时间	c=1 d=2.45743e-19 t=58
fa bu wan le 	发布完了	c=1 d=2.32711e-25 t=58
fa bu zhe 	发布者	c=1 d=0.465334 t=58
fa chu 	发出	c=1 d=3.06319e-23 t=58
fa chu lai 	发出来	c=3 d=1.39144e-05 t=58
fa chu lai de 	发出来的	c=1 d=0.000139842 t=58
fa chu lai le 	发出来了	c=1 d=7.66765e-53 t=58
fa cuo le 	发错了	c=4 d=4.21195e-05 t=58
fa dai 	发呆	c=2 d=5.42658e-21 t=58
fa dao 	乏道	c=2 d=9.85951e-11 t=58
fa dao 	发到	c=9 d=1.26861e-05 t=58
fa de 	发的	c=7 d=0.980199 t=58
fa dian 	发点	c=1 d=1.90528e-25 t=58
fa dian 	发电	c=1 d=1.91483e-25 t=58
fa ding 	法定	c=3 d=2.93498e-20 t=58
fa dong xi 	发东西	c=1 d=4.23666e-15 t=58
fa fa 	发发	c=1 d=1.58899e-07 t=58
